,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
,Champagne,,"$3,299 [Negotiable]",,"United States, New York, New York",Yellow gold,Automatic,1600,,Rolex,Plexiglass,Fold clasp,Men's watch/Unisex,Gold/Steel,Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/mens-rolex-datejust-1600-18k-yellow-gold--ss--id5462661.htm,,Steel,1 (mint),1968,Available now
,,,,,"Austria, Wien",,Automatic,1500,,Rolex,,,,,Yellow gold,34 mm,,http://www.chrono24.com/rolex/date-1500--id4603732.htm,,,1 (mint),1968,On request
With papers,Blue,,,,"Austria, Wien",,Automatic,23290462103001,,Omega,,,,,Titanium,45.5 mm,,http://www.chrono24.com/omega/seamaster-planet-ocean-2329046--id4872263.htm,,,1 (mint),2013,On request
,Black,,,,"Austria, Wien",,Automatic,3533,,IWC,,,,,Steel,38 mm,,http://www.chrono24.com/iwc/portofino--id5659800.htm,,,1 (mint),,On request
With papers,,,,,"Germany, Stuttgart",,Automatic,A19038021|BD20|443A,,Breitling,,,Men's watch/Unisex,Steel,,48 mm,,http://www.chrono24.com/breitling/navitimer-1461--id5123085.htm,,,0 (unworn),2017,On request
With papers,Grey,,,,"Austria, Wien",,Manual winding,5109G,,Patek Philippe,,,,,White gold,30 mm,,http://www.chrono24.com/patekphilippe/gondolo--id5653211.htm,,,1 (mint),,On request
With papers,,,,,"Indonesia, Indonesia",,Quartz,AP RO,,Audemars Piguet,,,Men's watch/Unisex,Steel,Steel,,,http://www.chrono24.com/audemarspiguet/ap-royal-oak---quartz---33mm--id5243233.htm,,,1 (mint),1988,Ready to ship in 3-5 days
With papers,,,,,"Hong Kong SAR, TST,Kowloon",,Manual winding,PAM00609,,Panerai,,,,Leather,Steel,,,http://www.chrono24.com/panerai/panerai-radiomir--id4479767.htm,,,0 (unworn),,On request
,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Black,"Date, GMT","$6,295",No numerals,"United States, California, Newport Beach",Steel,Automatic,216570,10 ATM,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/rolex/explorer-ii--steel-black-dial-bezel-42mm-216570-new--id5450808.htm,3187,Steel,0 (unworn),2016,Available now
,,,"$6,350",,"United States, New York, new york",,Automatic,16700,,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/gmt-master-ii-pepsi-bezel--id5649644.htm,,Steel,1 (mint),1999,Available now
With papers,Green,,"$7,995",No numerals,"United States, California, Newport Beach",Ceramic,Automatic,116610LV,30 ATM,Rolex,Sapphire Glass,Double-fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/submariner-stainless-ceramic-green-dial-hulk-watch-40mm--id5543657.htm,3135,Steel,1 (mint),2016,Available now
With papers,,,"$21,500",,"United States, New York, New York",,Automatic,116718,,Rolex,,Double-fold clasp,Men's watch/Unisex,Yellow Gold,Yellow gold,,Yellow,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,,Yellow gold,1 (mint),2010 2011 2012 2013 2014,Available now
With papers,Mother of pearl,,"$13,999",,"United States, New York, New York",,Automatic,114300,10 ATM,Rolex,,,Men's watch/Unisex,Steel,,39 mm,Steel,http://www.chrono24.com/rolex/new-style-rolex-oyster-perpetual-15-carats-of-genuine-diamonds-micro-pave-style--id5685821.htm,,,1 (mint),,Available now
,Champagne,,"$3,299 [Negotiable]",,"United States, New York, New York",Yellow gold,Automatic,1600,,Rolex,Plexiglass,Fold clasp,Men's watch/Unisex,Gold/Steel,Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/mens-rolex-datejust-1600-18k-yellow-gold--ss--id5462661.htm,,Steel,1 (mint),1968,Available now
With box,Champagne,,"$3,300",No numerals,"United States, Florida, Miami",Yellow gold,Automatic,,,Rolex,,Fold clasp,Men's watch/Unisex,Gold/Steel,Gold/Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/datejust-36mm-two-tone-jubilee-band-champaigne-dial--id4831067.htm,,Steel,1 (mint),1975,Available now
,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Black,"Date, GMT","$6,295",No numerals,"United States, California, Newport Beach",Steel,Automatic,216570,10 ATM,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/rolex/explorer-ii--steel-black-dial-bezel-42mm-216570-new--id5450808.htm,3187,Steel,0 (unworn),2016,Available now
With papers,Black,,"$29,500",,"United States, Pennsylvania, Philadelphia",,Automatic,218239,10 ATM,Rolex,,Fold clasp,Men's watch/Unisex,,White gold,41 mm,Silver,http://www.chrono24.com/rolex/day-date-ii-218239--id5601872.htm,,,1 (mint),,Available now
,,,"$6,350",,"United States, New York, new york",,Automatic,16700,,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/gmt-master-ii-pepsi-bezel--id5649644.htm,,Steel,1 (mint),1999,Available now
With papers,Green,,"$7,995",No numerals,"United States, California, Newport Beach",Ceramic,Automatic,116610LV,30 ATM,Rolex,Sapphire Glass,Double-fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/submariner-stainless-ceramic-green-dial-hulk-watch-40mm--id5543657.htm,3135,Steel,1 (mint),2016,Available now
With papers,,,"$21,500",,"United States, New York, New York",,Automatic,116718,,Rolex,,Double-fold clasp,Men's watch/Unisex,Yellow Gold,Yellow gold,,Yellow,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,,Yellow gold,1 (mint),2010 2011 2012 2013 2014,Available now
With papers,Mother of pearl,,"$13,999",,"United States, New York, New York",,Automatic,114300,10 ATM,Rolex,,,Men's watch/Unisex,Steel,,39 mm,Steel,http://www.chrono24.com/rolex/new-style-rolex-oyster-perpetual-15-carats-of-genuine-diamonds-micro-pave-style--id5685821.htm,,,1 (mint),,Available now
,Champagne,,"$3,299 [Negotiable]",,"United States, New York, New York",Yellow gold,Automatic,1600,,Rolex,Plexiglass,Fold clasp,Men's watch/Unisex,Gold/Steel,Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/mens-rolex-datejust-1600-18k-yellow-gold--ss--id5462661.htm,,Steel,1 (mint),1968,Available now
,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Black,"Date, GMT","$6,295",No numerals,"United States, California, Newport Beach",Steel,Automatic,216570,10 ATM,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/rolex/explorer-ii--steel-black-dial-bezel-42mm-216570-new--id5450808.htm,3187,Steel,0 (unworn),2016,Available now
With papers,Black,,"$29,500",,"United States, Pennsylvania, Philadelphia",,Automatic,218239,10 ATM,Rolex,,Fold clasp,Men's watch/Unisex,,White gold,41 mm,Silver,http://www.chrono24.com/rolex/day-date-ii-218239--id5601872.htm,,,1 (mint),,Available now
,,,"$6,350",,"United States, New York, new york",,Automatic,16700,,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/gmt-master-ii-pepsi-bezel--id5649644.htm,,Steel,1 (mint),1999,Available now
With papers,Green,,"$7,995",No numerals,"United States, California, Newport Beach",Ceramic,Automatic,116610LV,30 ATM,Rolex,Sapphire Glass,Double-fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/submariner-stainless-ceramic-green-dial-hulk-watch-40mm--id5543657.htm,3135,Steel,1 (mint),2016,Available now
With papers,,,"$21,500",,"United States, New York, New York",,Automatic,116718,,Rolex,,Double-fold clasp,Men's watch/Unisex,Yellow Gold,Yellow gold,,Yellow,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,,Yellow gold,1 (mint),2010 2011 2012 2013 2014,Available now
With papers,Mother of pearl,,"$13,999",,"United States, New York, New York",,Automatic,114300,10 ATM,Rolex,,,Men's watch/Unisex,Steel,,39 mm,Steel,http://www.chrono24.com/rolex/new-style-rolex-oyster-perpetual-15-carats-of-genuine-diamonds-micro-pave-style--id5685821.htm,,,1 (mint),,Available now
,Champagne,,"$3,299 [Negotiable]",,"United States, New York, New York",Yellow gold,Automatic,1600,,Rolex,Plexiglass,Fold clasp,Men's watch/Unisex,Gold/Steel,Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/mens-rolex-datejust-1600-18k-yellow-gold--ss--id5462661.htm,,Steel,1 (mint),1968,Available now
,,,,,"Austria, Wien",,Automatic,1500,,Rolex,,,,,Yellow gold,34 mm,,http://www.chrono24.com/rolex/date-1500--id4603732.htm,,,1 (mint),1968,On request
With papers,Blue,,,,"Austria, Wien",,Automatic,23290462103001,,Omega,,,,,Titanium,45.5 mm,,http://www.chrono24.com/omega/seamaster-planet-ocean-2329046--id4872263.htm,,,1 (mint),2013,On request
,Black,,,,"Austria, Wien",,Automatic,3533,,IWC,,,,,Steel,38 mm,,http://www.chrono24.com/iwc/portofino--id5659800.htm,,,1 (mint),,On request
With papers,,,,,"Germany, Stuttgart",,Automatic,A19038021|BD20|443A,,Breitling,,,Men's watch/Unisex,Steel,,48 mm,,http://www.chrono24.com/breitling/navitimer-1461--id5123085.htm,,,0 (unworn),2017,On request
